TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2021,4,2,2,0,26XX GRANT ST,Hastings-Sunrise,496388.5057,5457628.1041
Theft from Vehicle,2021,4,5,20,0,26XX KITCHENER ST,Hastings-Sunrise,496253.3122,5457722.978
Theft from Vehicle,2021,4,4,20,0,26XX NAPIER ST,Hastings-Sunrise,496320.8501,5458029.7996
Theft from Vehicle,2021,12,23,0,0,26XX OXFORD ST,Hastings-Sunrise,496326.3311,5459211.282
Theft from Vehicle,2021,8,5,19,0,26XX TRIUMPH ST,Hastings-Sunrise,496373.9336,5459011.7539
Theft from Vehicle,2021,4,17,3,50,26XX VENABLES ST,Hastings-Sunrise,496223.5659,5458205.765
Theft from Vehicle,2021,2,12,12,0,26XX WILLIAM ST,Hastings-Sunrise,496225.7222,5457928.1857
Theft from Vehicle,2021,12,20,18,0,26XX WILLIAM ST,Hastings-Sunrise,496225.7222,5457928.1857
Theft from Vehicle,2021,7,1,17,30,27XX CAMBRIDGE ST,Hastings-Sunrise,496423.4418,5459327.0265
Theft from Vehicle,2021,2,11,1,0,27XX CHARLES ST,Hastings-Sunrise,496466.7729,5457840.111
Theft from Vehicle,2021,12,10,15,0,27XX E 3RD AVE,Hastings-Sunrise,496567.0923,5457209.5859
Theft from Vehicle,2021,5,29,8,12,27XX E 4TH AVE,Hastings-Sunrise,496408.7614,5457097.5042
Theft from Vehicle,2021,4,10,0,0,27XX E 8TH AVE,Hastings-Sunrise,496464.138,5456693.032
Theft from Vehicle,2021,6,14,0,0,27XX E GEORGIA ST,Hastings-Sunrise,496424.3712,5458397.1996
Theft from Vehicle,2021,7,20,13,30,27XX E HASTINGS ST,Hastings-Sunrise,496500.1947,5458717.1357
Theft from Vehicle,2021,9,15,8,15,27XX E HASTINGS ST,Hastings-Sunrise,496510.8917,5458707.9555
Theft from Vehicle,2021,5,15,19,30,27XX E HASTINGS ST,Hastings-Sunrise,496555.8202,5458716.9479
Theft from Vehicle,2021,4,6,12,0,27XX ETON ST,Hastings-Sunrise,496471.082,5459437.2901
Theft from Vehicle,2021,2,6,22,0,27XX MCGILL ST,Hastings-Sunrise,496426.787,5459557.2469
Theft from Vehicle,2021,8,5,1,0,27XX PANDORA ST,Hastings-Sunrise,496562.6064,5458919.2032
Theft from Vehicle,2021,2,6,20,0,27XX PANDORA ST,Hastings-Sunrise,496573.7185,5458919.1527
Theft from Vehicle,2021,10,15,19,0,27XX PARKER ST,Hastings-Sunrise,496428.7901,5458112.4661
Theft from Vehicle,2021,9,13,0,56,27XX PARKER ST,Hastings-Sunrise,496562.4894,5458110.444
Theft from Vehicle,2021,4,28,18,0,27XX PARKER ST,Hastings-Sunrise,496569.6644,5458119.4805
Theft from Vehicle,2021,1,11,19,0,27XX TRINITY ST,Hastings-Sunrise,496504.824,5459667.242
Theft from Vehicle,2021,1,17,1,0,27XX TRIUMPH ST,Hastings-Sunrise,496481.1513,5459020.3789
Theft from Vehicle,2021,10,18,12,0,27XX TURNER ST,Hastings-Sunrise,496413.0845,5458479.4762
Theft from Vehicle,2021,8,30,12,0,27XX WALL ST,Hastings-Sunrise,496438.1975,5459933.2378
Theft from Vehicle,2021,1,25,23,30,27XX WILLIAM ST,Hastings-Sunrise,496580.709,5457936.5631
Theft from Vehicle,2021,3,25,0,1,27XX WILLIAM ST,Hastings-Sunrise,496580.709,5457936.5631
Theft from Vehicle,2021,10,24,0,1,27XX WILLIAM ST,Hastings-Sunrise,496580.709,5457936.5631
Theft from Vehicle,2021,6,14,22,0,27XX YALE ST,Hastings-Sunrise,496585.3536,5459770.2333
Theft from Vehicle,2021,12,15,9,0,28XX ADANAC ST,Hastings-Sunrise,496604.0918,5458295.851
Theft from Vehicle,2021,4,10,1,30,28XX CHARLES ST,Hastings-Sunrise,496738.6098,5457838.9096
Theft from Vehicle,2021,2,11,19,1,28XX E 1ST AVE,Hastings-Sunrise,496594.7144,5457399.7182
Theft from Vehicle,2021,3,30,19,35,28XX E 1ST AVE,Hastings-Sunrise,496761.6929,5457429.5117
Theft from Vehicle,2021,12,22,17,0,28XX E 4TH AVE,Hastings-Sunrise,496594.2799,5457096.9001
Theft from Vehicle,2021,6,27,3,0,28XX E 5TH AVE,Hastings-Sunrise,496665.6756,5456998.5984
Theft from Vehicle,2021,6,14,8,0,28XX E 7TH AVE,Hastings-Sunrise,496590.1237,5456785.349
Theft from Vehicle,2021,8,15,22,50,28XX E 8TH AVE,Hastings-Sunrise,496587.6625,5456692.1222
Theft from Vehicle,2021,2,21,17,30,28XX E 8TH AVE,Hastings-Sunrise,496635.9171,5456691.8563
Theft from Vehicle,2021,11,21,15,0,28XX E GEORGIA ST,Hastings-Sunrise,496648.4111,5458387.893
Theft from Vehicle,2021,3,31,9,35,28XX E HASTINGS ST,Hastings-Sunrise,496612.1916,5458716.7771
Theft from Vehicle,2021,2,12,4,0,28XX E HASTINGS ST,Hastings-Sunrise,496770.3077,5458716.7836
Theft from Vehicle,2021,6,11,6,30,28XX E HASTINGS ST,Hastings-Sunrise,496770.3077,5458716.7836
Theft from Vehicle,2021,3,25,13,30,28XX E HASTINGS ST,Hastings-Sunrise,496773.8144,5458716.7837
Theft from Vehicle,2021,5,12,16,30,28XX E HASTINGS ST,Hastings-Sunrise,496773.8144,5458716.7837
Theft from Vehicle,2021,6,30,15,0,28XX E HASTINGS ST,Hastings-Sunrise,496773.8144,5458716.7837
Theft from Vehicle,2021,11,13,23,0,28XX ETON ST,Hastings-Sunrise,496758.6127,5459435.3867
Theft from Vehicle,2021,9,27,18,15,28XX GRANT ST,Hastings-Sunrise,496607.6719,5457627.6491
Theft from Vehicle,2021,1,17,1,1,28XX GRANT ST,Hastings-Sunrise,496672.9692,5457627.6842
Theft from Vehicle,2021,12,12,15,9,28XX GRANT ST,Hastings-Sunrise,496703.7023,5457618.5567
Theft from Vehicle,2021,4,17,2,16,28XX GRAVELEY ST,Hastings-Sunrise,496703.4465,5457522.9271
Theft from Vehicle,2021,4,7,23,0,28XX KITCHENER ST,Hastings-Sunrise,496628.419,5457722.6402
Theft from Vehicle,2021,5,15,21,30,28XX KITCHENER ST,Hastings-Sunrise,496669.8794,5457731.538
Theft from Vehicle,2021,10,1,4,0,28XX MCGILL ST,Hastings-Sunrise,496699.8627,5459564.2361
Theft from Vehicle,2021,6,14,23,0,28XX OXFORD ST,Hastings-Sunrise,496652.5577,5459209.5301
Theft from Vehicle,2021,1,27,6,0,28XX PANDORA ST,Hastings-Sunrise,496613.3093,5458918.9732
Theft from Vehicle,2021,2,6,11,37,28XX PARKER ST,Hastings-Sunrise,496593.3939,5458064.9526
Theft from Vehicle,2021,11,22,22,0,28XX TURNER ST,Hastings-Sunrise,496716.8679,5458479.2129
Theft from Vehicle,2021,4,18,0,0,28XX VENABLES ST,Hastings-Sunrise,496624.6272,5458214.6499
Theft from Vehicle,2021,2,13,5,2,28XX VENABLES ST,Hastings-Sunrise,496655.0661,5458213.8442
Theft from Vehicle,2021,4,18,6,30,28XX VENABLES ST,Hastings-Sunrise,496710.9492,5458212.3647
Theft from Vehicle,2021,10,13,7,39,28XX VENABLES ST,Hastings-Sunrise,496749.2305,5458202.2037
Theft from Vehicle,2021,6,10,12,0,28XX WALL ST,Hastings-Sunrise,496726.4747,5459842.7809
Theft from Vehicle,2021,2,13,6,0,28XX YALE ST,Hastings-Sunrise,496611.3538,5459770.2458
Theft from Vehicle,2021,11,19,4,30,29XX ADANAC ST,Hastings-Sunrise,496906.9304,5458296.3829
Theft from Vehicle,2021,4,24,23,59,29XX E 1ST AVE,Hastings-Sunrise,496889.206,5457428.3752
Theft from Vehicle,2021,12,13,18,0,29XX E 2ND AVE,Hastings-Sunrise,496791.9522,5457298.7595
Theft from Vehicle,2021,7,23,9,0,29XX E 3RD AVE,Hastings-Sunrise,496938.1835,5457198.8153
Theft from Vehicle,2021,9,16,21,0,29XX E 4TH AVE,Hastings-Sunrise,496920.6433,5457105.1707
Theft from Vehicle,2021,6,13,0,45,29XX E 5TH AVE,Hastings-Sunrise,496786.4987,5456989.2325
Theft from Vehicle,2021,6,20,1,0,29XX E 5TH AVE,Hastings-Sunrise,496861.7453,5456997.7891
Theft from Vehicle,2021,4,9,11,31,29XX E 6TH AVE,Hastings-Sunrise,496786.0141,5456883.6949
Theft from Vehicle,2021,6,20,1,0,29XX E 7TH AVE,Hastings-Sunrise,496852.305,5456784.9623
Theft from Vehicle,2021,9,8,1,0,29XX E 8TH AVE,Hastings-Sunrise,496815.6079,5456690.9185
Theft from Vehicle,2021,12,20,2,0,29XX E 8TH AVE,Hastings-Sunrise,496857.1637,5456681.5976
Theft from Vehicle,2021,2,6,15,0,29XX E 8TH AVE,Hastings-Sunrise,496888.9665,5456681.4622
Theft from Vehicle,2021,9,6,17,0,29XX E HASTINGS ST,Hastings-Sunrise,496816.2611,5458716.8049
Theft from Vehicle,2021,9,11,18,0,29XX E HASTINGS ST,Hastings-Sunrise,496816.2611,5458716.8049
Theft from Vehicle,2021,9,14,0,0,29XX E HASTINGS ST,Hastings-Sunrise,496816.2611,5458716.8049
Theft from Vehicle,2021,10,4,7,19,29XX GRANT ST,Hastings-Sunrise,496793.7063,5457618.5466
Theft from Vehicle,2021,10,4,7,25,29XX GRANT ST,Hastings-Sunrise,496797.6853,5457618.5265
Theft from Vehicle,2021,4,24,22,0,29XX GRANT ST,Hastings-Sunrise,496865.1847,5457627.3237
Theft from Vehicle,2021,3,31,23,15,29XX GRANT ST,Hastings-Sunrise,496876.9147,5457618.1193
Theft from Vehicle,2021,9,9,4,1,29XX GRANT ST,Hastings-Sunrise,496982.9077,5457617.5743
Theft from Vehicle,2021,1,27,16,2,29XX GRAVELEY ST,Hastings-Sunrise,496790.3777,5457513.1983
Theft from Vehicle,2021,2,14,22,0,29XX GRAVELEY ST,Hastings-Sunrise,496821.239,5457513.087
Theft from Vehicle,2021,1,27,16,2,29XX GRAVELEY ST,Hastings-Sunrise,496836.7027,5457522.1753
Theft from Vehicle,2021,4,23,18,0,29XX KITCHENER ST,Hastings-Sunrise,496841.4897,5457730.5336
Theft from Vehicle,2021,6,17,23,0,29XX MCGILL ST,Hastings-Sunrise,496860.5642,5459565.3806
Theft from Vehicle,2021,9,24,2,28,29XX MCGILL ST,Hastings-Sunrise,496975.4648,5459566.2762
Theft from Vehicle,2021,5,14,17,0,29XX PARKER ST,Hastings-Sunrise,496877.7726,5458073.8764
Theft from Vehicle,2021,9,12,22,0,29XX TURNER ST,Hastings-Sunrise,496883.7578,5458488.1914
Theft from Vehicle,2021,4,26,22,0,29XX VENABLES ST,Hastings-Sunrise,496908.8652,5458190.2063
Theft from Vehicle,2021,5,16,22,0,29XX VENABLES ST,Hastings-Sunrise,496908.8652,5458190.2063
Theft from Vehicle,2021,12,16,20,0,29XX WALL ST,Hastings-Sunrise,496875.8122,5459741.606
Theft from Vehicle,2021,1,16,5,24,2X CASSIAR ST,Hastings-Sunrise,497758.9741,5459092.3527
Theft from Vehicle,2021,9,21,3,45,2X N CASSIAR ST,Hastings-Sunrise,497759.4355,5459144.0637
Theft from Vehicle,2021,8,25,23,30,2X SLOCAN ST,Hastings-Sunrise,496417.6113,5459093.7741
Theft from Vehicle,2021,6,21,17,0,2XX N BOUNDARY RD,Hastings-Sunrise,498283.6202,5459325.7612
Theft from Vehicle,2021,12,21,14,0,2XX N BOUNDARY RD,Hastings-Sunrise,498283.9342,5459353.3415
Theft from Vehicle,2021,6,29,16,30,2XX RENFREW ST,Hastings-Sunrise,496796.0907,5458902.1648
Theft from Vehicle,2021,8,6,9,30,2XX RENFREW ST,Hastings-Sunrise,496796.0907,5458902.1648
Theft from Vehicle,2021,10,20,20,0,2XX SKEENA ST,Hastings-Sunrise,497935.7908,5458910.124
Theft from Vehicle,2021,7,13,23,11,30XX ADANAC ST,Hastings-Sunrise,497045.031,5458305.2479
Theft from Vehicle,2021,5,23,6,0,30XX ADANAC ST,Hastings-Sunrise,497081.8709,5458296.3289
Theft from Vehicle,2021,5,19,0,0,30XX E 2ND AVE,Hastings-Sunrise,497082.1145,5457306.6477
Theft from Vehicle,2021,4,16,17,0,30XX E 3RD AVE,Hastings-Sunrise,496996.8522,5457198.3679
Theft from Vehicle,2021,5,24,1,0,30XX E 3RD AVE,Hastings-Sunrise,497126.6635,5457197.6916
Theft from Vehicle,2021,7,25,1,30,30XX E 4TH AVE,Hastings-Sunrise,497020.3343,5457095.5218
Theft from Vehicle,2021,10,4,8,0,30XX E 5TH AVE,Hastings-Sunrise,497068.4229,5456987.273
Theft from Vehicle,2021,12,14,8,0,30XX E 6TH AVE,Hastings-Sunrise,496987.3466,5456881.861
Theft from Vehicle,2021,4,16,19,0,30XX E 7TH AVE,Hastings-Sunrise,497139.5857,5456782.7408
Theft from Vehicle,2021,4,16,23,0,30XX E 7TH AVE,Hastings-Sunrise,497139.5857,5456782.7408
Theft from Vehicle,2021,11,24,21,0,30XX E GEORGIA ST,Hastings-Sunrise,497150.4172,5458386.1372
Theft from Vehicle,2021,6,30,0,1,30XX GRANT ST,Hastings-Sunrise,497145.3928,5457626.2988
Theft from Vehicle,2021,4,25,5,10,30XX GRAVELEY ST,Hastings-Sunrise,497106.2724,5457520.8297
Theft from Vehicle,2021,1,9,22,28,30XX KITCHENER ST,Hastings-Sunrise,497026.4775,5457729.8603
Theft from Vehicle,2021,1,10,0,1,30XX KITCHENER ST,Hastings-Sunrise,497054.5567,5457720.8156
Theft from Vehicle,2021,2,15,3,0,30XX VENABLES ST,Hastings-Sunrise,497087.0401,5458182.1988
Theft from Vehicle,2021,10,3,17,30,30XX VENABLES ST,Hastings-Sunrise,497159.0618,5458191.4653
Theft from Vehicle,2021,2,6,3,0,31XX CHARLES ST,Hastings-Sunrise,497271.2589,5457828.1718
Theft from Vehicle,2021,9,3,11,0,31XX E 1ST AVE,Hastings-Sunrise,497277.1871,5457396.2602
Theft from Vehicle,2021,3,31,23,0,31XX E 2ND AVE,Hastings-Sunrise,497322.4597,5457306.2876
Theft from Vehicle,2021,2,3,14,0,31XX E 3RD AVE,Hastings-Sunrise,497186.8594,5457197.3988
Theft from Vehicle,2021,2,6,22,0,31XX E 3RD AVE,Hastings-Sunrise,497186.8594,5457197.3988
Theft from Vehicle,2021,10,23,15,8,31XX E 4TH AVE,Hastings-Sunrise,497171.7084,5457095.0697
Theft from Vehicle,2021,10,27,12,0,31XX E 4TH AVE,Hastings-Sunrise,497221.0014,5457094.9081
Theft from Vehicle,2021,5,10,20,30,31XX E 5TH AVE,Hastings-Sunrise,497322.3464,5456995.1522
Theft from Vehicle,2021,5,7,18,0,31XX E 6TH AVE,Hastings-Sunrise,497335.6792,5456889.0708
Theft from Vehicle,2021,6,11,21,0,31XX E 7TH AVE,Hastings-Sunrise,497168.2062,5456782.546
Theft from Vehicle,2021,6,28,1,0,31XX E 7TH AVE,Hastings-Sunrise,497285.1515,5456790.8442
Theft from Vehicle,2021,7,8,17,0,31XX E BROADWAY AVE,Hastings-Sunrise,497196.3589,5456575.6337
Theft from Vehicle,2021,12,12,23,25,31XX GRAVELEY ST,Hastings-Sunrise,497173.0592,5457511.2349
Theft from Vehicle,2021,2,18,1,0,31XX GRAVELEY ST,Hastings-Sunrise,497267.5848,5457519.6885
Theft from Vehicle,2021,3,2,23,0,31XX KITCHENER ST,Hastings-Sunrise,497237.4736,5457730.192
Theft from Vehicle,2021,8,29,20,30,31XX TURNER ST,Hastings-Sunrise,497290.7145,5458485.639
Theft from Vehicle,2021,2,13,0,0,31XX TURNER ST,Hastings-Sunrise,497345.782,5458476.1445
Theft from Vehicle,2021,2,20,12,0,31XX VENABLES ST,Hastings-Sunrise,497181.0646,5458182.1634
Theft from Vehicle,2021,2,14,12,0,32XX ADANAC ST,Hastings-Sunrise,497469.0809,5458304.7493
Theft from Vehicle,2021,3,12,7,47,32XX CHARLES ST,Hastings-Sunrise,497363.4736,5457836.9564
Theft from Vehicle,2021,10,27,16,0,32XX E 2ND AVE,Hastings-Sunrise,497358.1146,5457297.0799
Theft from Vehicle,2021,2,7,20,0,32XX E 3RD AVE,Hastings-Sunrise,497397.7761,5457205.6161
Theft from Vehicle,2021,8,3,0,0,32XX E 5TH AVE,Hastings-Sunrise,497491.4627,5456985.1921
Theft from Vehicle,2021,9,1,0,0,32XX E 5TH AVE,Hastings-Sunrise,497497.8626,5456985.1609
